doc_number,corpus_size,vocab_count
1,374,243
2,5557,1709
3,5823,1760
4,5974,1810
5,6129,1826
6,6292,1832
7,6597,1884
8,6764,1909
9,7056,1951
10,7571,2124
11,7971,2207
12,8586,2367
13,8703,2371
14,8869,2398
15,9022,2402
16,9172,2408
17,9331,2413
18,9471,2429
19,9667,2445
20,9867,2471
21,9992,2480
22,10134,2496
23,10329,2524
24,10739,2636
25,10972,2698
26,11290,2763
27,11424,2774
28,11622,2814
29,11773,2822
30,12189,2901
31,12767,3022
32,13144,3095
33,13422,3133
34,13822,3254
35,14050,3300
36,14446,3382
37,14605,3383
38,15074,3476
39,15244,3505
40,15783,3599
41,16189,3733
42,17143,3825
43,17774,3947
44,18858,4248
45,19246,4307
46,19403,4319
47,19694,4359
48,19853,4360
49,22407,4795
50,22592,4826
51,22942,4862
52,23352,4911
53,23935,5002
54,24230,5064
55,25310,5236
56,25763,5330
57,25938,5335
58,26097,5336
59,26275,5357
60,26565,5367
61,26782,5389
62,27234,5481
63,27762,5567
64,28693,5735
65,28815,5739
66,29072,5761
67,29268,5788
68,30230,5879
69,30671,5987
70,30984,6018
71,31459,6081
72,31757,6103
73,31997,6139
74,32537,6200
75,32872,6206
76,33333,6267
77,34068,6441
78,34627,6494
79,35111,6509
80,35489,6541
81,35811,6586
82,36485,6719
83,37233,6793
84,37543,6825
85,37776,6846
86,38080,6869
87,41623,7185
88,43218,7328
89,44362,7565
90,44653,7625
91,45131,7774
92,46201,8004
93,47045,8157
94,47600,8222
95,50685,8542
96,51629,8710
97,52100,8754
98,52289,8759
99,59419,9238
100,59661,9256
101,59899,9304
102,60191,9318
103,60412,9357
104,60713,9397
105,60863,9399
106,61022,9400
107,63057,9871
108,63811,10052
109,63966,10054
110,64118,10058
111,64299,10067
112,64458,10071
113,64667,10080
114,64793,10081
115,65000,10094
116,65862,10357
117,65993,10368
118,66117,10373
119,66471,10399
120,66770,10434
121,68516,10705
122,68667,10708
123,68818,10710
124,70105,10788
125,70332,10806
126,70666,10846
127,70816,10849
128,70970,10853
129,71130,10856
130,71568,10920
131,72272,11099
132,72424,11100
133,72579,11105
134,72724,11106
135,73865,11308
136,74195,11345
137,74350,11345
138,75180,11449
139,75308,11461
140,75490,11477
141,75907,11526
142,76061,11527
143,76224,11529
144,76405,11535
145,77855,11741
146,78010,11741
147,78307,11749
148,78651,11793
149,79850,11934
150,80172,11968
151,80335,11991
152,80496,12004
153,81334,12171
154,84264,12606
155,84469,12637
156,84893,12694
157,85107,12714
158,85439,12731
159,85691,12759
160,85857,12773
161,86094,12792
162,86311,12819
163,86619,12845
164,87164,12940
165,88015,13056
166,88228,13069
167,88486,13098
168,88896,13162
169,89293,13258
170,89680,13351
171,89959,13382
172,90587,13457
173,90897,13501
174,91080,13534
175,91332,13562
176,91577,13582
177,91824,13608
178,93585,13774
179,93925,13809
180,94070,13815
181,94603,13878
182,94767,13885
183,95295,13926
184,95445,13930
185,95632,13958
186,95861,13991
187,96239,14031
188,96476,14055
189,96775,14089
190,97062,14123
191,97322,14161
192,97710,14227
193,97933,14253
194,98242,14292
195,98575,14340
196,98715,14348
197,98879,14368
198,99159,14404
199,99274,14409
200,99778,14616
201,99990,14645
202,100448,14695
203,100677,14709
204,100967,14716
205,101480,14760
206,101960,14832
207,102647,14902
208,102854,14913
209,103270,14962
210,103694,14997
211,103942,15026
212,104076,15030
213,104320,15068
214,104522,15084
215,105451,15123
216,105626,15154
217,105929,15180
218,106913,15293
219,107231,15379
220,107355,15387
221,107917,15447
222,108184,15489
223,108770,15540
224,108949,15547
225,109223,15572
226,109473,15598
227,109619,15603
228,109769,15618
229,115339,16042
230,115540,16053
231,115809,16078
232,116089,16103
233,116240,16107
234,116530,16128
235,117212,16202
236,117459,16229
237,118087,16357
238,118231,16360
239,118608,16400
240,118846,16427
241,119006,16432
242,119385,16487
243,119843,16617
244,119952,16621
245,120172,16642
246,120328,16651
247,120530,16663
248,121660,16853
249,122143,16885
250,125758,17237
251,126237,17294
252,126366,17301
253,126540,17336
254,126662,17341
255,126901,17400
256,127197,17422
257,127451,17514
258,127635,17534
259,128305,17648
260,128632,17693
261,129363,17760
262,129540,17782
263,129718,17797
264,129938,17808
265,130152,17848
266,130339,17865
267,130483,17871
268,130748,17896
269,131189,17946
270,131544,17973
271,132156,18008
272,132323,18026
273,132825,18057
274,133404,18171
275,134016,18214
276,134232,18238
277,134414,18251
278,135219,18306
279,135374,18314
280,135578,18335
281,136706,18491
282,136876,18500
283,137036,18509
284,137187,18512
285,137641,18560
286,137763,18564
287,138309,18706
288,138446,18709
289,138817,18758
290,138986,18791
291,139138,18803
292,139360,18814
293,139693,18851
294,140173,18887
295,140778,18944
296,141581,19109
297,141757,19114
298,141945,19137
299,142117,19147
300,142771,19214
301,142968,19227
302,143356,19283
303,143727,19323
304,145566,19556
305,146111,19613
306,146358,19626
307,146875,19675
308,147115,19685
309,148079,19797
310,148517,19842
311,148684,19848
312,148810,19853
313,149155,19889
314,149618,19919
315,149817,19927
316,150018,19935
317,150165,19939
318,150309,19944
319,150631,19976
320,154690,20306
321,155011,20325
322,155438,20365
323,155695,20388
324,155866,20394
325,156611,20481
326,157025,20530
327,158286,20626
328,159131,20698
329,159320,20708
330,159725,20863
331,159894,20872
332,160341,21125
333,160508,21136
334,160856,21182
335,161430,21208
336,161657,21230
337,161849,21236
338,163112,21323
339,163336,21350
340,164187,21415
341,164340,21426
342,164593,21450
343,165007,21484
344,165356,21512
345,165700,21564
346,166018,21624
347,166326,21660
348,166465,21667
349,166860,21681
350,167895,21834
351,168108,21859
352,168320,21870
353,168644,21934
354,170007,22022
355,170648,22096
356,171310,22162
357,171521,22180
358,171725,22183
359,172228,22223
360,172451,22230
361,172588,22235
362,172955,22248
363,173290,22259
364,173620,22348
365,174375,22421
366,174527,22430
367,174667,22435
368,176124,22573
369,176368,22594
370,176670,22605
371,177099,22633
372,178998,22761
373,179250,22778
374,179395,22781
375,179731,22848
376,179869,22849
377,180086,22859
378,180682,22930
379,180796,22941
380,181275,22985
381,181421,22989
382,181749,23035
383,182086,23082
384,182335,23100
385,182640,23126
386,182886,23147
387,183100,23175
388,183315,23188
389,184996,23537
390,185206,23548
391,185864,23604
392,186141,23619
393,186281,23625
394,186817,23694
395,187545,23756
396,188769,23876
397,188896,23889
398,189147,23901
399,189748,23940
400,189903,23947
401,190557,23998
402,190685,23999
403,190815,23999
404,191820,24090
405,192402,24138
406,192655,24148
407,192967,24165
408,193192,24182
409,193455,24194
410,194507,24264
411,195058,24310
412,195263,24315
413,195391,24323
414,195773,24358
415,195981,24363
416,196226,24381
417,196349,24382
418,196647,24402
419,196961,24408
420,197208,24455
421,197744,24469
422,198064,24488
423,198481,24562
424,198941,24591
425,199098,24599
426,199737,24671
427,200108,24688
428,200256,24693
429,200398,24695
430,200649,24716
431,200877,24737
432,201375,24813
433,201697,24857
434,202874,24979
435,203060,24987
436,210445,25652
437,211047,25695
438,211446,25729
439,212078,25787
440,212546,25820
441,213044,25838
442,213414,25870
443,213846,25907
444,213996,25919
445,214388,25941
446,214542,25945
447,215948,26106
448,216700,26164
449,217545,26216
450,217998,26253
451,218182,26266
452,218934,26307
453,219162,26349
454,219318,26355
455,225280,26787
456,225540,26815
457,225777,26834
458,225924,26853
459,226081,26866
460,226233,26878
461,226857,26921
462,227316,26982
463,230392,27292
464,230614,27307
465,230895,27337
466,232329,27432
467,232705,27459
468,233146,27481
469,233419,27507
470,235194,27647
471,235427,27659
472,236381,27680
473,236684,27696
474,237026,27767
475,237693,27850
476,238202,27904
477,238579,27915
478,239131,27946
479,239268,27957
480,239529,27968
481,239961,27989
482,240175,28003
483,240388,28016
484,240529,28020
485,240676,28028
486,241506,28106
487,241777,28124
488,242419,28157
489,242703,28207
490,242818,28209
491,243785,28264
492,244133,28294
493,244402,28343
494,244580,28345
495,244972,28359
496,246122,28414
497,246520,28438
498,247024,28471
499,247504,28506
500,247890,28521
501,248096,28524
502,248437,28541
503,248724,28553
504,249190,28593
505,249412,28603
506,249891,28878
