doc_number,corpus_size,vocab_count
1,144,100
2,362,164
3,699,324
4,955,428
5,1083,442
6,1743,663
7,2218,828
8,2568,934
9,2786,975
10,3152,1101
11,3625,1251
12,3812,1297
13,3983,1335
14,4176,1395
15,4845,1561
16,5026,1584
17,5237,1615
18,5739,1756
19,6597,2022
20,7833,2449
21,8066,2504
22,8293,2546
23,8548,2601
24,8819,2705
25,9011,2747
26,9146,2771
27,9317,2798
28,9471,2825
29,9659,2872
30,10260,3033
31,10494,3080
32,10615,3091
33,11058,3174
34,11187,3177
35,11396,3221
36,11853,3300
37,12739,3508
38,12907,3530
39,13232,3617
40,13354,3631
41,13772,3714
42,15253,3961
43,15556,4000
44,15699,4027
45,16132,4103
46,16305,4134
47,16798,4238
48,17491,4384
49,17705,4414
50,18035,4468
51,18201,4493
52,18409,4505
53,18573,4515
54,18908,4575
55,19061,4598
56,19206,4608
57,19367,4629
58,19607,4661
59,19867,4678
60,20206,4755
61,20344,4767
62,20640,4801
63,20816,4816
64,21287,4968
65,21476,5001
66,21821,5073
67,22167,5122
68,23392,5333
69,23833,5426
70,24392,5490
71,24571,5507
72,24749,5520
73,24972,5597
74,25564,5740
75,25976,5874
76,26300,5933
77,26479,5949
78,26841,6028
79,27003,6041
80,27158,6053
81,27359,6071
82,27836,6141
83,28163,6193
84,28275,6197
85,28557,6255
86,28885,6310
87,29003,6316
88,29406,6363
89,30726,6599
90,30862,6604
91,32311,6973
92,32619,7026
93,32964,7070
94,33081,7076
95,33388,7121
96,33841,7187
97,34054,7206
98,35159,7375
99,36358,7625
100,36611,7655
101,37097,7711
102,39325,7957
103,39609,8008
104,39868,8038
105,41299,8314
106,42101,8433
107,42453,8473
108,42654,8489
109,42936,8517
110,43073,8522
111,43674,8617
112,44204,8697
113,44345,8712
114,45099,8820
115,45894,8948
116,49137,9303
117,49278,9311
118,49447,9325
119,49684,9358
120,49805,9365
121,50757,9503
122,51065,9544
123,51398,9592
124,51620,9610
125,51814,9640
126,52064,9668
127,52259,9679
128,52409,9688
129,52650,9754
130,53963,9940
131,54792,10069
132,55262,10153
133,56686,10334
134,57260,10432
135,57490,10473
136,57653,10489
137,58128,10629
138,58417,10676
139,59311,10807
140,59502,10820
141,59741,10830
142,59977,10847
143,60172,10859
144,60582,10906
145,60740,10912
146,61080,10937
147,61291,10952
148,61511,10975
149,61982,11030
150,63958,11363
151,64245,11392
152,64553,11411
153,64941,11452
154,65476,11558
155,66046,11634
156,66644,11706
157,66850,11712
158,66995,11719
159,67363,11766
